total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org
19.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,3.0,34.0,332.0,3.0,M,N
11.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,387.0,1219.0,3.0,U,Y
10.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,77.0,0.0,M,N
5.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,110.0,672.0,0.0,F,N
5.0,17.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,196.0,154.0,0.0,F,N
22.0,69.0,9.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,3.0,3.0,393.0,235.0,2.0,U,Y
14.0,153.0,13.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,2.0,2675.0,942.0,2.0,M,N
6.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,2.0,F,N
13.0,22.0,15.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0,40.0,9.0,3.0,M,N
11.0,97.0,7.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,2.0,15.0,93.0,2.0,F,N
6.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,663.0,675.0,0.0,F,N
7.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,F,N
8.0,25.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,103.0,175.0,0.0,M,N
15.0,29.0,10.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,2.0,335.0,423.0,1.0,F,N
9.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,41.0,3.0,U,Y
12.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,55.0,1.0,F,N
10.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,28.0,3.0,M,N
6.0,40.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1040.0,424.0,3.0,M,N
11.0,51.0,15.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0,242.0,315.0,0.0,M,N
15.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,304.0,1.0,M,N
14.0,47.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,2.0,31.0,243.0,1.0,F,N
