total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org,bot_score
11.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,2.0,M,N,4.967015327184504
14.0,49.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,374.0,680.0,0.0,M,N,0.8767129149029229
3.0,98.0,9.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,1.0,2.0,54.0,0.0,F,N,4.028766091973045
7.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,199.0,413.0,3.0,M,N,1.05021823323685
15.0,61.0,15.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,89.0,142.0,1.0,M,N,1.3362472212252297
4.0,36.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,22.0,34.0,0.0,M,N,3.2246412994211027
5.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,23.0,29.0,0.0,F,N,3.283746786503737
9.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,378.0,3.0,M,N,2.228637518448264
3.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2164.0,340.0,0.0,U,Y,0.5997801049879897
3.0,105.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,59.0,29.0,0.0,M,N,2.094518788489282
6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,41.0,1.0,M,N,4.877682695518082
11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,93.0,0.0,F,N,4.723593129582935
7.0,109.0,11.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,1.0,130.0,558.0,3.0,U,Y,1.2297936533925302
13.0,4.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1034.0,3406.0,1.0,F,N,0.5111987197104706
28.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,52.0,79.0,0.0,F,N,1.5269998730645389
5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,3874.0,3.0,M,N,2.103793588666803
15.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,155.0,515.0,2.0,M,N,0.7140861255673625
5.0,93.0,15.0,0.0,0.0,8.0,0.0,0.0,18.0,3.0,0.0,1.0,308.0,418.0,2.0,M,N,1.948759177066558
18.0,56.0,16.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,3.0,941.0,4013.0,1.0,F,N,0.4573562324200719
10.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,1888.0,1073.0,0.0,F,N,0.9062327405331632
22.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,105.0,359.0,1.0,M,N,2.8267545671861525
7.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,265.0,294.0,1.0,M,N,1.0067344624447083
7.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4022.0,3644.0,0.0,F,N,0.4971215595407885
27.0,41.0,7.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,17.0,95.0,0.0,F,N,3.887350225521428
28.0,93.0,13.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,1.0,5.0,794.0,791.0,0.0,M,N,0.5190873767885573
26.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,3.0,602.0,1621.0,1.0,M,N,0.0550423459619553
